JOB_NAME;SALARY;POSTED_DATE_AT;DESCRIPTION;SOURCE_PICTURE
Kế Toán Nội Bộ;8 - 10 triệu;01/03/2024;"• Theo dõi và hạch toán các nghiệp vụ kinh tế phát sinh hàng ngày (mua hàng, bán hàng, ngân hàng, quỹ, TSCĐ, CCDC...) một cách hợp lý, hợp lệ, đầy đủ và kịp thời; • Lập các báo cáo nội bộ theo yêu cầu của cấp trên; • Kiểm tra, theo dõi công nợ phải thu, phải trả định kỳ; • Hỗ trợ các công việc liên quan đến chứng từ, hoá đơn, giao dịch tại ngân hàng của Công ty (séc, UNC...) và các công việc hành chính khác. • Thực hiện các công việc khác theo sự phân công của cấp trên; • Thời gian làm việc: 8h-12h, 13h00-17h00 - nghỉ chiều thứ 7 - CN";https://cdn1.vieclam24h.vn/images/default/2022/03/14/images/164722438448.png
Kế Toán Nội Bộ - Đi Làm Ngay;7 - 10 triệu;01/03/2024;- Giao dịch với khách hàng để đối chiếu công nợ. Tập hợp công nợ khách hàng và lập đề nghị TT công nợ để lãnh đạo duyệt -Hàng ngày hạch toán vào phần mềm kế toán nội bộ các chứng từ phát sinh của các ngân hàng và hóa đơn. -Giao dịch ngân hàng. -Thực hiện công việc của kế toán thanh toán: kiểm tra các hồ sơ đề nghị thanh toán trước khi chuyển cho lãnh đạo công ty duyệt đề nghị thanh toán tiến hành lập phiếu thu chi chuyển sang thủ quỹ chi tiền. -Hàng ngày cập nhật số liệu nguyên vật liệu vào kho báo cáo nhập xuất tồn. -Hỗ trợ bộ phận kinh doanh hoàn thiện hợp đồng, hồ sơ thanh toán với khách hàng. -Giao dịch với cơ quan thuế khi cần thiết.;https://cdn1.vieclam24h.vn/images/default/2022/11/14/images/166839462252.jpeg
Kế Toán Tổng Hợp - Lương Đến 16 Triệu (Đi Làm Ngay);13 - 16 triệu;01/03/2024;- Tiếp nhận, kiểm tra, soát xét tính hợp pháp của hoá đơn, chứng từ. - Cập nhật thông tin vào sổ sách kế toán, chứng từ ghi sổ theo chế độ kế toán. - Làm việc với các cơ quan thuế, bảo hiểm xã hội, ngân hàng. - Thực hiện báo cáo thuế, báo cáo tài chính, quyết toán thuế theo quy định hàng tháng, quý, năm và các báo cáo định kỳ khác. - Thực hiện các công việc kế toán nội bộ, kế toán XNK - Các công việc khác có liên quan theo sự phân công của Ban lãnh đạo công ty -Chi tiết công việc trao đổi qua buổi phỏng vấn.;https://cdn1.vieclam24h.vn/images/employer_avatar/2024/02/29/z5204023309774_dc8441e0cfc933173324f0ea0d917687_170919975295.jpg
Nhân Viên Kế Toán;7 - 12 triệu;29/02/2024;- Kiểm tra tất cả các khoản thu chi / tính hợp lệ của chứng từ - Xử lý các nghiệp vụ kế toán phát sinh trong doanh nghiệp - Quản lý hệ thống chứng từ, sổ sách theo quy định - Báo cáo tài chính theo yêu cầu Cấp trên, theo dõi vật tư công trình - Công việc chi tiết sẽ trao đổi tại buổi phỏng vấn.;https://cdn1.vieclam24h.vn/tvn/asset/home/img/employer/5e8d73f7b8316_1586328567.jpg
Nam Kế Toán Nội Bộ;8 - 10 triệu;29/02/2024;- Thực hiện kiểm tra và kê khai thuế theo định kỳ kê khai: Quý/năm - Làm việc với các cơ quan chức năng: Thuế, ngân hàng… - Hạch toán thu nhập, chi phí, công nợ, nghiệp vụ khác, thuế GTGT và báo cáo thuế khối văn phòng. - Thực hiện các nhiệm vụ khác liên quan đến hoạt động của phòng ban, công ty. - Thực hiện theo sự chỉ đạo của Kế Toán Trưởng.;https://cdn1.vieclam24h.vn/tvn/asset/home/img/employer/5eb1159019a4d_1588663696.png
Kế Toán Tổng Hợp;13 - 15 triệu;29/02/2024;"Kiểm tra đối chiếu công nợ Nhập kho lên Misa: chứng từ hóa đơn đầu vào Kiểm tra Bảng lương Kiểm tra Báo cáo Sales Kiểm tra số liệu Misa: sổ phụ ngân hàng; quỹ tiền mặt; công nợ Phân bổ khấu hao tài sản trên Misa Nhập Bảng lương lên Misa (cuối tháng) Báo cáo P&L, Thuế, Kiểm kho Kiểm tra Hợp đồng Nhân sự: BHXH, BHYT Báo cáo tài chính cuối năm Quyết toán thuế (trung bình 3 năm/lần) Báo cáo thuế, tính hình sử dụng Hóa đơn (theo từng quý) Các việc khác theo yêu cầu của BGĐ";/img/vieclam24h_logo_customer.jpg
Kế Toán Nội Bộ Kiêm Hành Chính Nhân Sự;10 - 15 triệu;28/02/2024;"- Thực hiện các công việc liên quan đến giao dịch tại ngân hàng của Công ty ( Rút séc, làm UNC trả khách hàng..). - Theo dõi các khoản thu, chi tại Văn phòng và hạch toán kế toán. - Thành thạo và thực hiện việc xuất hóa đơn đầu ra theo hồ sơ nghiệm thu của chủ đầu tư, theo dõi tổng hợp hóa đơn đầu vào hàng tháng, hàng quý. - Lập, theo dõi và hoàn thiện danh mục hợp đồng với Chủ đầu tư. - Lập hồ sơ theo dõi giải quyết chế độ BH cho CB,NV Công ty. - Theo dõi nhân sự, chấm công và tính lương hàng tháng cho CB, NV Công ty. - Theo dõi, quản lý và thực hiện công tác hành chính quản trị. - Lưu trữ hồ sơ công ty. - Lập hợp đồng, thương thảo hợp đồng. - Thực hiện các nhiệm vụ khác theo sự phân công của Trưởng phòng TC-KT và Ban Giám đốc công ty. -Thời gian làm việc: Từ thứ 2 đến thứ 7 hàng tuần. Sáng từ 7h30 – 11h30; chiều từ 13h00 đến 17h00 -Địa điểm làm việc: CÔNG TY TNHH XÂY DỰNG- THƯƠNG MẠI-DỊCH VỤ QUẢNG LỢI - số 71, Khu phố Hòa Long, Phường Lái Thiêu, TP Thuận An, Bình Dương";https://cdn1.vieclam24h.vn/tvn/images/default/2022/05/30/images/165388108743.png
Kế Toán Tổng Hợp - [Hóc Môn];12 - 18 triệu;28/02/2024;"- Thực hiện các công việc chuyên môn của kế toán tổng hợp bao gồm việc hệ thống sổ sách kế toán, các nghiệp vụ kinh tế phát sinh về doanh thu, chi phí, thanh toán, tài sản, lương và các khoản trích theo lương… - Thu thập, tổng hợp, xử lý, kiểm tra, ghi chép các nghiệp vụ kinh tế phát sinh trong doanh nghiệp, chịu trách nhiệm về số liệu chi tiết đến tổng hợp trên sổ kế toán. - Tập hợp chi phí, doanh thu theo từng dự án - Xuất hóa đơn, tổng hợp hóa đơn đầu ra, đầu vào - Theo dõi các khoản thu chi tiền mặt, tiền gửi ngân hang - Kiểm soát, thực hiện các nghiệp vụ kế toán đảm bảo tính đúng đắn của chứng từ kế toán - Cập nhật thông tin và làm việc với cơ quan thuế - Lập báo cáo tài chính định kỳ tháng, quý, năm; quyết toán thuế thu nhập doanh nghiệp, thu nhập cá nhân theo năm và theo yêu cầu. Thực hiện các báo cáo khác theo yêu cầu của cấp trên - Các ngày trong tuần từ thứ hai đến thứ bảy - Thời gian: T2-T6, sáng 8h00 – 12h00, chiều 13h30 – 17h30 T7, sáng 8h00 – 12h00";https://cdn1.vieclam24h.vn/images/default/2024/02/27/logo noi that_170903409898.jpg
Kế Toán Tổng Hợp;10 - 15 triệu;28/02/2024;- Thu nhận các số liệu của các kế toán khác để cập nhật và phản ánh lên báo cáo, chuyên giúp kế toán trưởng trong mọi công việc kiểm tra kế toán. - Có nhiệm vụ theo dõi chặt chẽ thu chi tiền mặt, tiền gửi trên cơ sở các chứng từ hợp lý, hợp lệ, hợp pháp. Theo dõi các tài khoản công nợ phải thu phải trả, thanh toán tiền lương và bảo hiểm - Thực hiện các giao dịch với ngân hàng. Thu nhận các chứng từ phát sinh cập nhập lên báo cáo thuế. - Theo dõi tình hình xuất nhập tồn kho vật liệu, đánh giá phân loại vật liệu, ccdc theo yêu cầu quản lý của Công ty. Tham gia kiểm kê tài sản cố định, định kỳ hay bất thường;https://cdn1.vieclam24h.vn/upload/files_cua_nguoi_dung/logo/2018/05/02/1525242691_images.jpg
Nhân Viên Kế Toán Tổng Hợp;10 - 14 triệu;27/02/2024;- Phát hành, kiểm tra, kiểm soát tính hợp lệ, hợp pháp, hạch toán, lưu trữ các chứng từ kế toán - Quản lý lưu trữ hóa đơn, chứng từ, sổ sách, bảo mật số liệu kế toán - Thực hiện các báo cáo định kỳ tháng, quý năm, báo cáo tài chính, quyết toán thuế TNDN, TNCN với cơ quan thuế, BHXH…. - Các công việc phát sinh khác theo yêu cầu từ Cấp trên - Trực tiếp làm việc với cơ quan thuế khi có yêu cầu - Kiểm soát mọi hoạt động có liên quan đến lĩnh vực kế toán. - Định kỳ thực hiện việc tính lương cho các nhóm đối tượng lao động công nhật dựa trên bảng chấm công. - Lập tờ khai cấp sổ bảo hiểm cho NLĐ, theo dõi việc giải quyết chính sách – chế độ cho NLĐ, chốt và trả sổ cho người lao động nghỉ việc. - Các công việc cụ thể khác trao đổi khi phỏng vấn Thời gian làm việc từ thứ 2 đến thứ 6;https://cdn1.vieclam24h.vn/company-logo-medium/052018/haZzDEYQBMt9eYjYl8J4tQROR0kg86vA0YOUsbOt.png
Nữ Kế Toán Trưởng, Kinh Nghiệm 3 Năm (Quận Tân Bình);20 - 25 triệu;27/02/2024;- Tổ chức, quản lý và điều hành phòng Kế toán - Thực hiện các báo cáo kế toán thuế và báo cáo nội bộ Hàng tháng - Chịu trách nhiệm kiểm soát tất cả các hoạt động liên quan lĩnh vực tài chính, kế toán của Công ty - Tham mưu cho Ban Giám đốc kịp thời về các chính sách kế Toán. - Đưa ra đề xuất, cải tiến những điểm bất hợp lý trong công việc. - Thực hiện các công việc khác theo yêu cầu của cấp trên. - Thời gian làm việc: từ Thứ 2 đến Thứ 7 (bắt đầu từ 7h30 đến 11h30 và 13h đến 17h) - Địa điểm làm việc: 127 Xuân Hồng, Phường 12, Quận Tân Bình, TP.HCM;https://cdn1.vieclam24h.vn/images/old_employer_avatar/images/3a2753bb6ef84aeb81e4c257ab7f81f6_1521777185_140541avata_copy.png
Nhân Viên Kế Toán Giá Thành;10 - 15 triệu;27/02/2024;- Lập Phiếu nhập - xuất kho, tập hợp chi phí tính giá thành - Hạch toán các khoản chi phí liên quan đến sản xuất - Chịu trách nhiệm với số liệu tồn kho sổ sách - Thực hiện kiểm soát đối chiếu số liệu tồn kho với số liệu của Thủ kho, Lập kế hoạch và tham gia kiểm kê, Lập báo cáo chênh lệch kho hàng tháng - Hạch toán điều chỉnh kho (nếu có) khi được BLĐ phê duyệt - Đóng sổ, lưu trữ chứng từ theo quy định phòng kế toán;https://cdn1.vieclam24h.vn/images/default/2020/11/19/images/img_vieclam24h_vn_160576735552.png
Kế Toán Tổng Hợp;10 - 15 triệu;26/02/2024;Kiểm tra đối chiếu tính chính xác của tất cả các chứng từ kế toán hàng ngày Hạch toán, xử lý các nghiệp vụ kế toán. Theo dõi, kiểm tra đối chiếu dữ liệu chi tiết và tổng hợp Theo dõi công nợ Lập báo cáo thuế hàng tháng, hàng quý, báo cáo năm Lưu trữ hồ sơ, dữ liệu kế toán theo qui định Lập các báo cáo quản trị Thực hiện các công việc khác theo sự phân công của cấp quản lý trực tiếp;https://cdn1.vieclam24h.vn/images/employer_avatar/2022/03/30/images/164862201353.jpeg
Kế Toán Tổng Hợp;10 - 12 triệu;26/02/2024;"-      Theo dõi, hạch toán đầy đủ, chính xác, kịp thời các nghiệp vụ kinh tế phát sinh lên phần mềm Amis kế toán. -      Hạch toán bán hàng, xuất hóa đơn và theo dõi công nợ khách hàng. Kết hợp phòng Kinh doanh hối thúc công nợ -      Quản lý việc mua hàng, nhập xuất hàng hóa vào kho; đối chiếu số liệu tồn kho trên hệ thống và thực tế. Tổng hợp chi phí hạng mục công trình, dự án và báo cáo. -      Theo dõi công nợ phải thu, phải trả. -      Tính lương, hoa hồng, BHXH, quyết toán tạm ứng cho công nhân viên. -      Thực hiện các thủ tục với Ngân hàng, Thuế, BHXH. -      Báo cáo tình hình thu chi, doanh thu, lợi nhuận hàng tháng. -      Theo dõi tiến độ thanh toán của khách hàng, đối chiếu và quyết toán chi phí với CĐT. -      Kê khai thuế, lập tờ khai thuế quý, báo cáo tài chính năm, các báo cáo quản trị khác khi có yêu cầu. -      Lưu trữ sổ sách, dữ liệu kế toán theo quy định. -      Thực hiện các công việc khác theo sự phân công của cấp trên.";https://cdn1.vieclam24h.vn/images/old_employer_avatar/images/ac757ccd887f49ec602877e3cbf068c5_5871573_vieclam24h_1583997276.jpeg
Nhân Viên Thiết Kế Đi 2D / 3D Làm Ngay;12 - 20 triệu;06/03/2024;-         Khảo sát thực tế, lên ý tưởng, lập phương án thiết kế sơ bộ. -         Concept mặt bằng 2D -         Triển khai concept 3D -         Lập bản vẽ chi tiết. -         Lập dự toán hạng mục. -         Lĩnh vực chính: ngoại thất, cảnh quan, đài phun nước, bể bơi… Địa điểm làm việc : 99A Đường 12, KP4, Phường Tam Bình, TP Thủ Đức, TP HCM, Việt Nam;https://cdn1.vieclam24h.vn/images/old_employer_avatar/images/ac757ccd887f49ec602877e3cbf068c5_5871573_vieclam24h_1583997276.jpeg
Nhân Viên Kế Toán - Làm Việc Quận 2;10 - 20 triệu;26/02/2024;- Theo dõi và quản lý công nợ, lập hóa đơn đầu ra & xử lý hóa đơn đầu vào - Theo dõi và quản lý phiếu thu – chi công ty - Kiểm tra, đối chiếu số liệu với các bộ phận liên quan - Thu thập chứng từ, đối chiếu, rà soát dữ liệu hàng ngày - Hạch toán các nghiệp vụ kế toán, báo cáo thuế, báo cáo quyết toán năm cho Cty và 1 số khách DVKT - Lập BCTC định kỳ theo yêu cầu của BGĐ, lập sổ sách kèm theo đúng luật và quy định của nhà nước - Thống kê và tổng hợp số liệu kế toán khi có yêu cầu - Các công việc BHXH, Hợp đồng lao động, tiền lương và các công việc liên quan - Lưu trữ hồ sơ khoa học, theo quy định. Các Công tác phát sinh khác theo sự phân công;https://cdn1.vieclam24h.vn/images/employer_avatar/2024/02/26/z5193344517858_4a11a6d7bd0eef047aa92d0f356f2229_170891813654.jpg
Nhân Viên Kế Toán - Không Yêu Cầu Kinh Nghiệm;7 - 10 triệu;26/02/2024;- Xuất hóa đơn điện tử - Thu, Chi Công Nợ. Lập kế hoạch theo dõi dòng tiền - Tập hợp chứng từ kế toán theo tháng nộp Quản Lý - Quản lý và sắp xếp hợp đồng, chứng từ khoa học, hợp lệ - Tính lương, Chấm Công - Các công việc khác do cấp trên giao phó.;https://cdn1.vieclam24h.vn/images/default/2021/03/22/images/img_vieclam24h_vn_161638685181.png
Kế Toán Tổng Hợp;10 - 15 triệu;24/02/2024;"·        Theo dõi xuất nhập hàng hàng ngày; ·        Chấm công và tính lương; ·        Quản lý bán hàng; ·        Giám sát sản xuất, Theo dõi nguyên liệu sử dụng trong sản xuất; ·        Kiểm kê hàng hóa, công dụng cụ định kỳ; ·        Kiểm tra chứng từ thanh toán; ·        Thực hiện các công việc khác khi được yêu cầu.";https://cdn1.vieclam24h.vn/tvn/images/employer_avatar/2021/07/13/images/162614397397.jpeg
Nhân Viên Kế Toán Tổng Hợp;8 - 10 triệu;24/02/2024;Hạch toán nghiệp vụ kế toán doanh nghiệp, kế toán thuế phát sinh hằng ngày lên phần mềm Quản lý sổ quỹ, ngân hàng Theo dõi, thanh toán công nợ nước ngoài và trong nước Chấm công, các công việc liên quan đến bảo hiểm, giao dịch ngân hàng Hạch toán thu nhập, chi phí, khấu hao, TCSĐ, thuế GTGT và BÁO CÁO THUẾ Sắp xếp, lưu trữ chứng từ, sổ sách;https://cdn1.vieclam24h.vn/images/default/2022/03/31/images/164872097637.png
Kế Toán Trưởng;15 - 20 triệu;24/02/2024;- Lên các kế hoạch công việc chi tiết và tổ chức thực hiện các nhiệm vụ của bộ phận kế toán. - Tổ chức soạn thảo và đề xuất ban hành các quy chế quản lý tài chính, quản lý chi tiêu nội bộ. - Xây dựng các quy trình, biểu mẫu chuyên môn nghiệp vụ, quy trình hạch toán kế toán, thanh quyết toán... - Quản lý hệ thống kế toán, sổ sách kế toán, hóa đơn, chứng từ theo đúng quy định của pháp luật. - Xây dựng hệ thống thông tin kế toán và báo cáo kế toán quản trị phục vụ cho việc lập kế hoạch kinh doanh, lập ngân sách hàng năm và các yêu cầu quản trị khác. - Tổng hợp thông tin, số liệu và lập báo cáo tình hình thực hiện kế hoạch tài chính trình Ban lãnh đạo Công ty, tham mưu các biện pháp tối ưu hóa hiệu quả sử dụng vốn, cân đối nguồn vốn phù hợp với yêu cầu sản xuất kinh doanh. - Lập tờ khai thuế GTGT, thuế TNCN, thuế TNDN, báo cáo tài chính theo qui định của Luật thuế. - Đánh giá, nghiên cứu và đề xuất các chiến lược, giải pháp về thuế tối ưu cho Công ty. - Cung cấp hồ sơ và làm việc với Ngân hàng về các hồ sơ bảo lãnh, đấu thầu, tín dụng của công ty. - Cung cấp hồ sơ, số liệu và giải trình cho cơ quan thuế, kiểm toán, thanh tra kiểm tra theo yêu cầu. - Quản lý, kiểm soát để đảm bảo yêu cầu về bảo mật thông tin kinh tế – tài chính của Công ty.;https://cdn1.vieclam24h.vn/images/employer_avatar/2023/10/20/138791-200x200_169779058912.jpg
Kế Toán Tổng Hợp (Nam);12 - 15 triệu;24/02/2024;- Hạch toán phần mềm kế toán - Báo cáo thuế theo quy định. - Tham mưu cho kế toán trưởng về chính sách thuế. - Có tham gia công tác tỉnh 1 tuần/ lần (đi về trogn ngày) - Thực hiện các công việc được giao;https://cdn1.vieclam24h.vn/tvn/images/employer_avatar/2021/05/04/images/162010492027.png
Kỹ Sư Công Trình (Nam);15 - 23 triệu;24/02/2024;- Bốc tách được tất cá khối lượng từ bản vẽ thi công. - Triển khai được bản vẽ biện pháp thi công. - Các công việc khác theo yêu cầu của quản lý. ***Làm việc tại Công trình fulltime;https://cdn1.vieclam24h.vn/tvn/images/employer_avatar/2021/05/04/images/162010492027.png
Kế Toán Dịch Vụ Làm Việc Ở Quận 1;12 - 20 triệu;21/02/2024;- Thực hiện và duy trì hệ thống thông tin kế toán. - Kiểm tra, báo cáo, quyết toán, các khoản chi phí, thuế của công ty. - Theo dõi công việc, đối chiếu công việc và báo cáo các khoản phải thu, phải trả. - Báo cáo thuế và các công việc liên quan đến thuế. - Tổ chức lưu giữ các chứng từ, hồ sơ, tài liệu liên quan. - Lập báo cáo tài chính và báo cáo với lãnh đạo định kỳ hoặc đột xuất. - Các công việc theo sự phân công của Ban giám đốc.;https://cdn1.vieclam24h.vn/images/employer_avatar/2023/07/17/z4522808759558_2b01b3b33e72bc0afbdeaa33b25f0a81_168956362669.jpg
Kế Toán Viên / Accountant;10 - 12 triệu;14/02/2024;- Prepare an estimate of the order to the Stock and make purchase requisition. Check the goods according to the transportation cycle. Inspect the goods when delivered and stored according to the specified standards - Supervise and arrange debt, costs, and procurement of account receivable - Deposit cash or cheque into the bank, - Store important documents such as Purchase requisition, invoice, receipt, Purchase order and bill - Coordinate with sales and product manager - Others as assigned by the supervisor. - Chuẩn bị ước tính đơn đặt hàng cho Kho và đưa ra yêu cầu mua hàng. - Kiểm tra hàng hóa theo chu kỳ vận chuyển. Kiểm tra hàng hóa khi giao nhận và bảo quản theo tiêu chuẩn quy định - Giám sát và thu xếp công nợ, chi phí và thu mua các khoản phải thu - Gửi tiền mặt hoặc séc vào ngân hàng, - Lưu trữ các tài liệu quan trọng như yêu cầu mua hàng, hóa đơn, biên lai, đơn đặt hàng và hóa đơn - Phối hợp với trưởng phòng kinh doanh và sản phẩm - Các công việc khác theo sự phân công của cấp trên.;https://cdn1.vieclam24h.vn/images/default/2023/04/04/logo only pp_168058430793.png
