Nhân Viên Kỹ Thuật May;7 - 15 triệu;07/03/2024;- Tạo mã sản phẩm - Biết tính định mức sản phẩm - Chi tiết công việc trao đổi khi phỏng vấn trực tiếp;https://cdn1.vieclam24h.vn/tvn/images/old_employer_avatar/images/e30c3445bd17197fb13f7eb9fef8f9a9_5a93d66d85dda_1519638125.gif
Nhân Viên Cad Operator Lương 15 - 25Tr / Tháng;15 - 25 triệu;08/03/2024;- Thiết kế -Triển khai các bản vẽ chi tiết kỹ thuật thi công dự án, - Lập và triển khai các bản vẽ biện pháp thi công - Sử dụng các phần mềm aotu Cad, sketchup, revit...;https://cdn1.vieclam24h.vn/images/employer_avatar/2023/10/30/download (1)_169864758234.png
Nhân Viên QS Ngành Nội Thất;10 - 20 triệu;08/03/2024;Bóc tách khối lượng nội thất. Báo giá dự thầu. Làm hồ sơ thanh toán quyết toán. Lập hồ sơ chất lượng (Hồ sơ nghiệm thu vật liệu, công việc, đưa vào sử dụng ). Tính toán khối lượng thầu phụ, tính khối thi công. Mua vật tư thi công. Làm tiến độ thi công. Báo cáo sản lượng thi công. Thực hiện các công việc khác do Ban Giám đốc yêu cầu.;https://cdn1.vieclam24h.vn/images/employer_avatar/2023/08/07/logo-an-phat-cuong_169139098247.png
Họa Viên Triển Khai Nội Thất 2D Thu Nhập Từ 12 - 15 Triệu (Quận 7);12 - 15 triệu;07/03/2024;- Khảo sát, đo đạc khảo sát thực tế công trình. - Triển khai bản vẽ chi tiết 2D - Làm bản vẽ hoàn công. - Lên bản vẽ mặt bằng, mặt đứng và chi tiết công trình theo hướng dẫn của quản lí Địa điểm làm việc: Quận 7;https://cdn1.vieclam24h.vn/tvn/images/employer_avatar/2022/07/20/images/165828994194.jpeg
Kỹ Sư Thiết Kế Thu Nhập 12-15Tr;12 - 15 triệu;07/03/2024;Khảo sát, nghiên cứu, lập đề xuất phương án thiết kế các hạng mục nhôm kính như : Cửa nhôm kính các loại, vách dựng, mặt dựng thông tầng cho công trình. Triển khai thiết kế tổng thể và chi tiết các hạng mục nhôm kính. Tham gia chuẩn bị hồ sơ tài liệu cho các gói thầu dự án và tham gia đấu thầu dự án. Thực hiện các công việc liên quan đến thiết kế bản vẽ kỹ thuật, bản vẽ gia công, bản vẽ thi công hệ thống nhôm kính. Các công việc khác theo yêu cầu của Phòng kỹ thuật và Ban Giám đốc Công ty.;/img/vieclam24h_logo_customer.jpg
Kỹ Sư Thiết Kế Khu Vực Hải Phòng;9 - 15 triệu;07/03/2024;Làm bản vẽ 2D và 3D cho các chi tiết, kết cấu thép. Bóc tách danh sách vật tư, danh sách chi tiết gia công, lên phương án công nghệ sơ bộ. In, trình duyệt bản vẽ chế tạo, partlist chi tiết, phân phối và lưu trữ hồ sơ kỹ thuật. Báo cáo công việc và thực hiện các chỉ đạo khác của cấp trên. Công việc cụ thể hơn sẽ được trao đổi khi phỏng vấn.;https://cdn1.vieclam24h.vn/images/employer_avatar/2022/08/09/images/166000882754.jpeg
Nhân Viên Thiết Kế In Vải Chuyển Nhiệt;10 - 25 triệu;07/03/2024;- Thiết kế đồ họa hoa văn in trên vải như áo thun,drap khăn giường,mẫu đầm, sơ mi, áo dài, áo dài cách tân, thời trang trẻ em, khăn thời trang.... bằng phần mềm Ai, Photoshop theo hình mẫu khách gởi. - Vẽ lại, đồ họa lại các mẫu khách gởi. - Test mẫu, test màu in lên vải. - Dàn sơ đồ in bán thành phẩm... - Các công việc theo yêu cầu của Giám Đốc;https://cdn1.vieclam24h.vn/images/employer_avatar/2022/08/03/images/165949080761.jpeg
Họa Viên Kiến Trúc Nhật Bản - Q. Gò Vấp;6.5 - 20 triệu;06/03/2024;"-  Gia công bản vẽ cho các đối tác Nhật Bản, sử dụng chương trình chuyên dụng để xử lý bản vẽ kiến trúc; - Thống kê dữ liệu trong bản vẽ kiến trúc, kết cấu; - Sử dụng phần mềm chuyên dụng để nhập kiến trúc, thiết bị và xuất ra file cad 2D/PDF; - Chỉnh sữa bản vẽ cad 2D cho phù hợp với yêu cầu.";https://cdn1.vieclam24h.vn/images/default/2024/03/06/DT_logo_OK white_170970037824.png
Nhân Viên Thiết Kế Kết Cấu (Đi Làm Ngay);14 - 18 triệu;06/03/2024;Lên phương án kết cấu, lập mô hình tính toán các dự án thiết kế dân dụng và công nghiệp. Triển khai bản vẽ kết cấu, thuyết minh tính toán kết cấu. Xử lý các yêu cầu thay đổi trong quá trình thiết kế, đảm bảo hồ sơ bàn giao đúng pháp luật – đúng tiến độ - đúng yêu cầu.;https://cdn1.vieclam24h.vn/images/default/2023/05/12/logo Doan Luc_168385486749.jpg
Kỹ Sư QA;10 - 15 triệu;06/03/2024;Nắm kiểm tra và theo dõi khối lượng, hồ sơ chất lượng công trình và các hợp đồng thi công thầu phụ, tổ đội. Thực hiện kiểm soát chất lượng thi công công trường Kiểm soát vận hành hệ thống chất lượng theo quy định của công ty. Lập, kiểm tra bảng vẽ Shop drawing cho các dự án. Kiểm tra, lưu trữ hồ sơ các dự án thi công theo quy định. Kiểm tra và xem sét kế hoạch vật tư cho các dự án. Thực hiện các công việc khác theo sự phân công của Trưởng phòng và Ban Giám đốc.;https://cdn1.vieclam24h.vn/images/default/2023/05/12/logo Doan Luc_168385486749.jpg
Nhân Viên Thiết Kế 3D Max;10 - 12 triệu;06/03/2024;-Triển khai thiết kế phối cảnh 3 D ,bản vẽ chi tiết thi công , phối hợp làm việc với khách hàng để chốt pương án thi công hạng mục ốp lát đá hoa cương . -Phối hợp với các bộ phận trong công tác thiết kế và thi công -Công việc của họa viên kiến trúc làm việc với các bản vẽ kiến trúc và bản vẽ công trình , bóc tách khối lượng công trình dự toán báo giá .;https://cdn1.vieclam24h.vn/images/employer_avatar/2024/03/05/- (1)_170962329954.png
Nhân Viên Thiết Kế Nội Thất (3D, 2D);10 - 15 triệu;01/03/2024;-        Nhận yêu cầu thiết kế, khảo sát hiện trạng -        Thiết kế sơ phác, phương án cho công trình -        Thể hiện và hoàn thiện các hồ sơ thiết kế, bản vẽ cho từng giai đoạn công trình -        Hoàn thiện hồ sơ công trình: scan, photo, in ấn, đóng cuốn... -        Tổ chức lưu trữ và làm thư viện;https://cdn1.vieclam24h.vn/images/default/2024/03/01/z4464061822412_7fdcd22edee0231a3a92ebb1714bd460_170928581116.jpg
Nhân Viên Thiết Kế Nội Thất;15 - 25 triệu;29/02/2024;"-         Tư vấn ý tưởng thiết kế các dự án nội thất chuyên về shop, showroom, nhà ở, văn phòng, resort… -         Khảo sát đo đạc hiện trạng công trình thực tế,; thiết kế 3D concept, tư vấn vật liệu và thuyết trình ý tưởng trực tiếp với khách hàng. -         Triển khai chi tiết bản vẽ nội thất và kiến trúc 2D các thề loại công trình: Shop, Showroom, nhà hàng, văn phòng, resort, nhà ở, … -         Kiểm tra hồ sơ triển khai thi công, kiểm tra công tác thi công và chịu trách nhiệm về thẩm mỹ cho dự án mình phụ trách. -         Chịu sự điều phối công việc của cấp quản lý trực tiếp";https://cdn1.vieclam24h.vn/tvn/images/old_employer_avatar/images/1cf9f43699972402c79d9b3a695f7867_5ad704c3505a4_1524040899.png
Cán Bộ Thiết Kế Bản Vẽ Shop Drawing;11 - 17 triệu;27/02/2024;1.     Triển khai bản vẽ thiết kế chào thầu 2.     Triển khai bản vẽ thiết kế bản vẽ thi công (shop-drawing) 3.     Bóc vật tư và báo giá chào thầu 4.     Bóc dự toán khối lượng vật tư 5.     Yêu cầu cung ứng vật tư;https://cdn1.vieclam24h.vn/images/employer_avatar/2021/11/19/images/163728864624.jpeg
Nhân Viên Thiết Kế Đồ Họa 3D Thu Nhập 12 - 15 Triệu;12 - 15 triệu;26/02/2024;- Thiết kế phối cảnh nội, ngoại thất 3D cho các công trình nhà ở dân dụng: Nhà xưởng, văn phòng, shops, căn hộ chung cư, nhà hàng, khách sạn,... - Phát triển ý tưởng thiết kế trên các phầm mềm thiết kế chuyên dụng như Autocad, 3Dmax, Sketchup, Lumion, Photoshop… - Cụ thể trao đổi thêm khi phỏng vấn;https://cdn1.vieclam24h.vn/images/employer_avatar/2024/02/26/83da9c57a9b504eb5da4_170891699896.jpg
Kiến Trúc Sư Triển Khai Bản Vẽ 2D,3D;9 - 12 triệu;24/02/2024;- Triển khai bản vẽ thi công công trình của Nhật liên quan đến các cấu kiện kim loại như louver, panel, tay vin cầu thang... cho các dự án tại Nhật Bản - Các công việc khác theo sự phân công của cấp trên . - Được traning và học các kĩ thuật thi công và liên kết trong công trình của Nhật Bản. - Địa điểm làm việc: số 20 Đường Số 8, Khu Dân Cư Cityland Park Hills, Phường 10, Quận Gò Vấp, TP HCM;https://cdn1.vieclam24h.vn/images/old_employer_avatar/images/d3c60803f2a374e7a7160c8ce9125e7e_6079166_vieclam24h_1595216864.jpeg
Nhân Viên Thiết Kế Đồ Họa - Làm Việc Tại Bình Dương;8 - 11 triệu;24/02/2024;- Làm việc với NCC/ khách hàng, thiết kế, định dạng sản phẩm để sản xuất in ấn. - Sáng tạo, tạo mẫu, phát triển concept, đồ họa và bố cục minh họa phát triển các sản phẩm. - Liên lạc với các nhà in thường xuyên để đảm bảo sản phẩm đúng thiết kế và đáp ứng thời gian giao hàng. - Tạo packing đóng gói theo kích thước sản phẩm - Hỗ trợ các nhóm/bộ phận khác khi có yêu cầu - Thực hiện các nhiệm vụ được giao bởi cấp trên;https://cdn1.vieclam24h.vn/images/employer_avatar/2024/02/24/z5188692545559_ebe483dab5a293a33053e668899fa407_170876356142.jpg
Nhân Viên Vẽ Kỹ Thuật (Drafter) Thu Nhập Tới 12 Triệu;8 - 12 triệu;19/02/2024;·        Tiếp nhận và trao đổi thông tin thiết kế với Kỹ sư thiết kế phụ trách. ·        Tìm hiểu, nghiên cứu các thiết kế tiêu chuẩn của dự án và áp dụng cho quá trình thiết kế chi tiết. ·        Tham gia góp ý tiến độ thiết kế và hồ sơ dự án. ·        Dựng mô hình 3D. ·        Khả năng triển khai bản vẽ 2D phục vụ chế tạo, thi công. ·        Kiểm tra và rà soát chất lượng bản vẽ khi có yêu cầu. ·        Thực hiện bóc tách khối lượng vật tư. ·        Làm việc tại văn phòng Tp. HCM;https://cdn1.vieclam24h.vn/tvn/asset/home/img/employer/5ab2142a9077b_1521620010.png
Nhân Viên Thiết Kế Đồ Họa;10 - 15 triệu;17/02/2024;- Thiết kế các ấn phẩm phục vụ công tác quảng cáo và truyền thông thương hiệu như: catalogue, brochure, folder, flyer, company profile… - Tham gia hổ trợ thực hiện các trương trình quảng cáo, khuyến mại, sự kiện… của công ty. Thiết kế poster, banner, lịch, thiệp … cho các sự kiện của công ty. - Am hiểu về mẫu mã lịch tết , lịch bàn , và lịch bloc là một lợi thế - Công việc cụ thể trao đổi khi PV - Làm Việc Tại: Văn phòng: 54/7a Đường Tô Ngọc Vân, Phường Thạnh Xuân, Quận 12;https://cdn1.vieclam24h.vn/tvn/asset/home/img/employer/5d200665c810f_1562379877.png
Nhân Viên Triển Khai Bản Vẽ 2D;10.5 - 16.5 triệu;01/02/2024;-         Triển khai bản vẽ 2D từ kiến trúc đến nội thất từ phối cảnh 3D, ý tưởng kiến trúc sư, thống kê vật liệu sử dụng -         Tiếp nhận hồ sơ từ bộ phận kỹ thuật và tiến hành bóc tách bản vẽ -         Bổ cấu tạo các chi tiết hạng mục kiến trúc, nội thất,hồ sơ thiết kế bản vẽ thi công -         Các công việc khác trong phạm vi triển khai kỹ thuật theo yêu cầu của Công ty -         Phối hợp với các phòng ban điều chỉnh, xử lý các thông số kỹ thuật và đề xuất các phương án điều chỉnh, cải tiến;https://cdn1.vieclam24h.vn/images/default/2023/08/25/ADP-BI-Logo-Final-04_169295476075.png
